,Question,Answer
0,Can a fraudster withdraw money from my Aadhaar linked bank account if he knows my Aadhaar number or has my Aadhaar card?,"Just by knowing your Aadhaar number or Aadhaar linked bank account, no one can withdraw money from Aadhaar linked bank account."
1,"Does linking my bank account, PAN, and other services with Aadhaar make me vulnerable?","No. UIDAI does not have visibility of linking of your Aadhaar with any other services. Concern departments such as bank, income tax etc. do not share any information of Aadhaar number holder neither UIDAI stores any such informations."
2,"Why am I asked to verify Bank account, Demat account, PAN and various other services with Aadhaar?","Aadhaar verification/authentication is governed by the sections of Aadhaar Act, 2016, under which the use case has been notified by the concerned Ministry/Department for providing services."
3,There are many agencies that simply accept physical copy of Aadhaar and do not carry out any biometric or OTP authentication or verification. Is this a good practice?,"No, in this connection MeitY has issued detailed instructions to all Government Ministries/Departments vide office memorandum no 10(22)/2017-EG-II(VOL-1) dated 19.06.2023."
4,I gave my Aadhaar card to a service provider for proving my identity. Can anyone harm me by knowing and misusing my Aadhaar number?,"No. Just, by knowing your Aadhaar number, no one can harm you. To prove your identity, Aadhaar number is verfied/authenticated by agencies through various modes as prescribed under Aadhaar Act, 2016."
5,"If Aadhaar has to be freely used for proving identity and it is safe to do so, then why has UIDAI advised people not to put up their Aadhaar number in Social Media or public domain?","You use PAN card, debit card, credit card, bank cheques wherever required. But do you put these details openly on internet and social media such as Facebook, Twitter, etc.? Obviously no! You do not put such personal details unnecessarily in public domain so that there is no unwarranted invasion attempt on your privacy. The same logic needs to be applied in case of uses of Aadhaar."
6,"Recently, UIDAI has issued an advisory asking people not to share their Aadhaar number openly in the public domain especially on Social Media or other public platforms. Does this mean that I should not use Aadhaar freely?","You should use your Aadhaar without any hesitation for proving your identity and doing transactions, just like you use your bank account number, PAN card, debit card, credit card, etc., wherever required. What UIDAI has advised is that Aadhaar card should be freely used for proving identity and doing transactions, but should not be put on public platforms like Twitter, Facebook, etc. People give their debit card or credit card details or cheque (which has bank account number) when they purchase goods, or pay school fee, water, electricity, telephone and other utility bills, etc. Similarly, you can freely use your Aadhaar to establish your identity as and when required without any fear. While using Aadhaar, you should do the same level of due diligence as you do in case of other ID cards – not more, not less."
7,How do I link PAN with Aadhaar?,"For linking your PAN with Aadhaar, you may visit the website of Income Tax Department and follow the instructions."
8,What is Aadhaar PVC Card? Is it equivalent to paper based laminated Aadhaar Letter?,"Aadhaar PVC card is PVC based Aadhaar card which can be ordered online by paying nominal charges.
Yes.Aadhaar PVC card is equivalent to paper based Aadhaar letter."
9,"I applied for Aadhaar earlier but did not get it. So, I re-applied. When will I get my Aadhaar?","If your Aadhaar was generated from the first Enrolment then every attempt to re-enrol will be rejected. DO NOT re-apply. You can retrieve your Aadhaar:
(a) Online using Retrieve EID/UID service available on https://myaadhaar.uidai.gov.in/ (if you have the registered mobile no)
(b) By visiting any enrolment centre
(c) By dialing 1947"
