,Question,Answer
0,मैं पैन को आधार से कैसे लिंक करूं?,अपने पैन को आधार से लिंक करने के लिए आप आयकर विभाग की वेबसाइट पर जाएं और निर्देशों का पालन करें।
1,आधार पीवीसी कार्ड क्या है? क्या यह कागज आधारित लेमिनेटेड आधार पत्र के बराबर है?,"आधार पीवीसी कार्ड पीवीसी आधारित आधार कार्ड है जिसे नाममात्र शुल्क देकर ऑनलाइन ऑर्डर किया जा सकता है।
हां, आधार पीवीसी कार्ड कागज आधारित आधार पत्र के समान ही मान्य है।"
2,"मैंने पहले आधार के लिए आवेदन किया था लेकिन नहीं मिला। इसलिए, मैंने दोबारा आवेदन किया। मुझे अपना आधार कब मिलेगा?""","यदि आपका आधार पहले नामांकन से उत्पन्न हुआ था तो पुनः नामांकन का हर प्रयास अस्वीकार कर दिया जाएगा। दोबारा आवेदन न करें. आप अपना आधार पुनः प्राप्त कर सकते हैं:
(ए) https://myaadhaar.uidai.gov.in/ पर उपलब्ध रिट्रीव ईआईडी/यूआईडी सेवा का ऑनलाइन उपयोग करें (यदि आपके पास पंजीकृत मोबाइल नंबर है)
(बी) किसी भी नामांकन केंद्र पर जाकर
(सी) 1947 डायल करके"
3,"मैंने हाल ही में अपना आधार अपडेट किया है। हालाँकि, स्थिति अभी भी 'प्रक्रिया में' दिख रही है। यह कब अपडेट होगा?","आधार अपडेशन में 90 दिन तक का समय लगता है. यदि आपका अपडेट अनुरोध 90 दिन से अधिक पुराना है, तो कृपया 1947 (टोल फ्री) डायल करें या आगे की सहायता के लिए help@uidai.gov.in पर लिखें।"
4,"नामांकित होने के बाद, मेरा आधार पत्र प्राप्त करने में कितना समय लगेगा? और मैं अपना आधार पत्र कैसे प्राप्त कर सकता हूँ?",नामांकन की तारीख से आधार बनने में 90 दिन तक का समय लग सकता है। आधार पत्र साधारण डाक द्वारा आधार संख्या धारक के पंजीकृत पते पर भेजा जाता है।
5,क्या होगा यदि आधार पत्र आधार संख्या धारक को वितरित नहीं किया गया है?,"यदि आधार नंबर धारक को आधार पत्र नहीं मिलता है, तो उसे अपने नामांकन नंबर के साथ यूआईडीएआई संपर्क केंद्र से संपर्क करना चाहिए या https://myaadhaar.uidai.gov.in/CheckAadhaarStatus पर ऑनलाइन आधार स्थिति की जांच कर सकता है। इस बीच आधार नंबर धारक ई-आधार डाउनलोड कर सकते हैं।
आपसे यह भी अनुरोध है कि ई-आधार में पते की सत्यता को सत्यापित करें और उसे तदनुसार अपडेट करें (यदि आवश्यक हो)।"
6,क्या होगा यदि कोई आधार संख्या धारक अपना आधार संख्या भूल जाए ,"क) आधार नंबर धारक आधार सेवा का उपयोग करके अपना आधार नंबर पा सकता है - https://myaadhaar.uidai.gov.in/ पर उपलब्ध खोई हुई यूआईडी/ईआईडी पुनर्प्राप्त करें
ख) आधार नंबर धारक 1947 पर कॉल कर सकता है, जहां हमारा संपर्क केंद्र एजेंट उसे उसकी ईआईडी प्राप्त करने में मदद करेगा और उसका उपयोग MyAadhaar पोर्टल से उसका ई-आधार डाउनलोड करने के लिए किया जा सकता है - आधार डाउनलोड करें
ग) आधार नंबर धारक 1947 पर कॉल करके आईवीआरएस सिस्टम पर ईआईडी नंबर से भी अपना आधार नंबर प्राप्त कर सकता है।"
7,मैंने हाल ही में अपना आधार अपडेट किया है। क्या आप कृपया इसमें तेजी ला सकते हैं? मुझे इसकी तत्काल आवश्यकता है।,आधार अपडेशन की एक निश्चित प्रक्रिया है जिसमें अपडेट अनुरोध की तारीख से 90 दिन तक का समय लगता है। अद्यतनीकरण प्रक्रिया को बदला नहीं जा सकता. आप स्थिति की जांच https://myaadhaar.uidai.gov.in/CheckAadhaarStatus से कर सकते हैं।
8,क्या mAadhaar सेवाओं का उपयोग करने के लिए पंजीकृत मोबाइल नंबर होना अनिवार्य है?,"नहीं, स्मार्टफोन वाला कोई भी व्यक्ति mAadhaar ऐप इंस्टॉल और उपयोग कर सकता है।पंजीकृत मोबाइल नंबर के बिना, आधार नंबर धारक केवल कुछ सेवाओं जैसे ऑर्डर आधार पीवीसी कार्ड, नामांकन केंद्र का पता लगाना, आधार सत्यापित करना, क्यूआर कोड स्कैन करना आदि का लाभ उठा पाएगा।हालाँकि mAadhaar में प्रोफ़ाइल बनाने और इसे डिजिटल पहचान के रूप में उपयोग करने और अन्य सभी आधार सेवाओं का लाभ उठाने के लिए पंजीकृत मोबाइल नंबर अनिवार्य है। mAadhaar में प्रोफ़ाइल बनाने के लिए OTP केवल पंजीकृत मोबाइल पर भेजा जाएगा।"
9,एम-आधार का उपयोग कहां किया जा सकता है?,mAadhaar ऐप का इस्तेमाल भारत में कहीं भी किया जा सकता है। mAadhaar बटुए में आधार कार्ड से कहीं अधिक है। एक तरफ mAadhaar प्रोफाइल को हवाई अड्डों और रेलवे द्वारा एक वैध आईडी प्रमाण के रूप में स्वीकार किया जाता है और दूसरी तरफ आधार नंबर धारक ऐप में सुविधाओं और सेवाओं का उपयोग कर सकता है।
