,Question,Answer
0,"
1 - क्या नियोक्ता कर्मचारी के वेतन से नियोक्ता के हिस्से के अंशदान की कटौती कर सकता है? ",    उत्तर : जी नहीं इसकी अनुमति नहीं है। ऐसी कोई कटौती एक दंडनीय अपराध है  
1,"
2 - क्या कर्मचारी भविष्य निधि में भुगतान के कारण नियोक्ता द्वारा वेतन कम किया जा सकता है? ","    उत्तर : जी नहीं, यह कर्मचारी भविष्य निधि एवं प्र.उ. अधिनियम, 1952 की धारा 12 के अंतर्गत विशेष रूप से प्रतिबंधित है।  "
2,"
3 - क्या कोई दिहाड़ी पर कार्यरत कर्मचारी अथवा पीस रेटेड कर्मचारी, कर्मचारी भविष्य निधि का सदस्य बन सकता है? ",    उत्तर : जी हां ।  
3,"
4 - नियोक्ता द्वारा भ.नि. देयों को विलंब से जमा किए जाने पर, क्या सदस्य उस राशि पर पूर्ण ब्याज का हकदार है?","    उत्तर : बकाया राशि का वसूली के पश्चात, भ.नि. सदस्यों को प्रत्येक देय महीने के लिए पूर्ण ब्याज दिया जाएगा और यह, भुगतान किए गए अंशदान पर सदस्यों को देय ब्याज को किसी भी तरह प्रभावित नहीं करेगा। नियोक्ता पर क्रमशः अधिनियम की धारा 7 क्यू के तहत दांडिक ब्याज और धारा 14 बी के तहत दांडिक नुकसानी का जुर्माना लगाया जाएगा। "
4,"
5 - किसी कर्मचारी को उसके निलंबन की अवधि के दौरान निर्वाह भत्ता दिया जाता है। क्या इस पर भ.नि. अंशदान देय है?",    उत्तर : जी नहीं। 
5,"
6 - क्या एक कर्मचारी सेवा छोड़ने के पश्चात कर्मचारी भविष्य निधि में अंशदान कर सकता है?","    उत्तर : जी नहीं, नियोक्ता एवं वेतन के बगैर कोई वसूली नहीं की जा सकती। सदस्य द्वारा किया गया कोई भी अंशदान नियोक्ता के अंशदान के समतुल्य होना चाहिए।  "
6,"
7 - कर्मचारी के वेतन से काटे गए अंशदान को तथा क.भ.नि. को भुगतान नहीं किए जाने के संबंध में गैर भुगतान से सदस्य को किस प्रकार सूचित किया जाता है?","    उत्तर : वार्षिक भ.नि. खाता विवरणी / सदस्य पासबुक, नियोक्ता द्वारा भुगतान की गई राशि का विवरण देता है। इस प्रकार, सदस्यों को वर्ष में चूक की अवधि का पता चलता है। वर्तमान परिदृश्य में, यदि सदस्य ने अपने यूएएन को सक्रिय किया है तो अंशदान का गैर-भुगतान / भुगतान, ई-पासबुक के माध्यम से हर महीने सत्यापित किया जा सकता है। वर्तमान में, सदस्य अपने भ.नि. खाते में मासिक अंशदान के जमा होने पर अपने पंजीकृत मोबाइल पर एसएमएस भी प्राप्त करते हैं। "
7,"
8 - भविष्य निधि राशि यदि 20 दिन के भीतर प्राप्त नहीं होती है तो मामले को किसके समक्ष प्रस्तुत किया जाना चाहिए। ","    उत्तर : वह क्षेत्रीय भविष्य निधि आयुक्त, प्रभारी शिकायत से संपर्क कर सकता है, फॉर एंप्लाइज’ सेक्शन में ईपीएफआईजीएमएस सुविधा का लाभ उठाते हुए वेबसाइट पर शिकायत दर्ज कर सकता है। शिकायत पृष्ठ के लिए यूआरएल है : https://epfigms.gov.in/  अथवा प्रत्येक माह की 10 तारीख को आयोजित ‘निधि आप के निकट’ में वह आयुक्त के समक्ष उपस्थित हो सकता है। "
8,"
9 - क्या भविष्य निधि देय राशि की निकासी की कोई समय-सीमा है? ",    उत्तर : केवल सेवा से त्यागपत्र (सेवानिवृत्ति नहीं) के मामले में सदस्य को भविष्य निधि की राशि की निकासी के लिए दो माह की अवधि तक प्रतीक्षा करनी होती है।  
9,"
10 - जब नियोक्ता दावा प्रपत्र को सत्यापित न कर रहा हो तो भविष्य निधि की निकासी के लिए आवेदन कैसे प्रस्तुत किया जा सकता ","    उत्तर : आवेदन फार्म को सत्यापित करना नियोक्ता  का कर्तव्य है। किसी प्रकार के विवाद के मामले में सदस्य उस बैंक जिसमें उसका खाता है, नियोक्ता से सत्यापन न कराने के कारण बताते हुए, इसे क्षेत्रीय भविष्य निधि आयुक्त को प्रस्तुत कर सकता है। क्षेत्रीय भविष्य निधि आयुक्त आवश्यकतानुसार नियोक्ता के साथ मामला उठाएगा। यदि सदस्य ने अपना यूनिवर्सल खाता संख्या सक्रिय किया है और अपने बैंक खाते और आधार को लिंक किया है तो वह कंपोजिट फॉर्म (आधार) प्रस्तुत कर सकता है जिसमें केवल सदस्य के हस्ताक्षर आवश्यक होते हैं। "
