,Unnamed: 0,Question,Answer,lang,portal,instruction
0,0,Can a fraudster withdraw money from my Aadhaar linked bank account if he knows my Aadhaar number or has my Aadhaar card?,"Just by knowing your Aadhaar number or Aadhaar linked bank account, no one can withdraw money from Aadhaar linked bank account.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
1,1,"Does linking my bank account, PAN, and other services with Aadhaar make me vulnerable?","No. UIDAI does not have visibility of linking of your Aadhaar with any other services. Concern departments such as bank, income tax etc. do not share any information of Aadhaar number holder neither UIDAI stores any such informations.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
2,2,"Why am I asked to verify Bank account, Demat account, PAN and various other services with Aadhaar?","Aadhaar verification/authentication is governed by the sections of Aadhaar Act, 2016, under which the use case has been notified by the concerned Ministry/Department for providing services.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
3,3,There are many agencies that simply accept physical copy of Aadhaar and do not carry out any biometric or OTP authentication or verification. Is this a good practice?,"No, in this connection MeitY has issued detailed instructions to all Government Ministries/Departments vide office memorandum no 10(22)/2017-EG-II(VOL-1) dated 19.06.2023.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
4,4,I gave my Aadhaar card to a service provider for proving my identity. Can anyone harm me by knowing and misusing my Aadhaar number?,"No. Just, by knowing your Aadhaar number, no one can harm you. To prove your identity, Aadhaar number is verfied/authenticated by agencies through various modes as prescribed under Aadhaar Act, 2016.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
5,5,"If Aadhaar has to be freely used for proving identity and it is safe to do so, then why has UIDAI advised people not to put up their Aadhaar number in Social Media or public domain?","You use PAN card, debit card, credit card, bank cheques wherever required. But do you put these details openly on internet and social media such as Facebook, Twitter, etc.? Obviously no! You do not put such personal details unnecessarily in public domain so that there is no unwarranted invasion attempt on your privacy. The same logic needs to be applied in case of uses of Aadhaar.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
6,6,"Recently, UIDAI has issued an advisory asking people not to share their Aadhaar number openly in the public domain especially on Social Media or other public platforms. Does this mean that I should not use Aadhaar freely?","You should use your Aadhaar without any hesitation for proving your identity and doing transactions, just like you use your bank account number, PAN card, debit card, credit card, etc., wherever required. What UIDAI has advised is that Aadhaar card should be freely used for proving identity and doing transactions, but should not be put on public platforms like Twitter, Facebook, etc. People give their debit card or credit card details or cheque (which has bank account number) when they purchase goods, or pay school fee, water, electricity, telephone and other utility bills, etc. Similarly, you can freely use your Aadhaar to establish your identity as and when required without any fear. While using Aadhaar, you should do the same level of due diligence as you do in case of other ID cards – not more, not less.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
7,7,How do I link PAN with Aadhaar?,"For linking your PAN with Aadhaar, you may visit the website of Income Tax Department and follow the instructions.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
8,8,What is Aadhaar PVC Card? Is it equivalent to paper based laminated Aadhaar Letter?,"Aadhaar PVC card is PVC based Aadhaar card which can be ordered online by paying nominal charges.
Yes.Aadhaar PVC card is equivalent to paper based Aadhaar letter.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
9,9,"I applied for Aadhaar earlier but did not get it. So, I re-applied. When will I get my Aadhaar?","If your Aadhaar was generated from the first Enrolment then every attempt to re-enrol will be rejected. DO NOT re-apply. You can retrieve your Aadhaar:
(a) Online using Retrieve EID/UID service available on https://myaadhaar.uidai.gov.in/ (if you have the registered mobile no)
(b) By visiting any enrolment centre
(c) By dialing 1947",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
10,10,I recently updated my Aadhaar. Can you please expedite it? I need it urgently.,Aadhaar update has a fixed process which takes up to 90 days from the date of update request. The update process cannot be altered. You may check the status from https://myaadhaar.uidai.gov.in/CheckAadhaarStatus,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
11,11,"I updated my Aadhaar recently. However, the status still shows 'in process'. When will it get updated?","Aadhaar update takes up to 90 days. If your update request is more than 90 days old, then please dial 1947 (toll free) or write to help@uidai.gov.in for further assistance.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
12,12,"After I get Enroled, how long will it take to get my Aadhaar letter? And how do I get my Aadhaar letter?",Aadhaar generation may take up to 90 days from the date of enrolment. Aadhaar letter is delivered by ordinary post at the registered address of the Aadhaar Number holder.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
13,13,What if Aadhaar letter is not delivered to the Aadhaar Number holder?,"If Aadhaar Number holder does not receive Aadhaar letter, he/she should contact UIDAI contact center with his/her Enrolment number or may check Aadhaar status online at https://myaadhaar.uidai.gov.in/CheckAadhaarStatus. Meanwhile Aadhaar Number holder can download e-Aadhaar.
You are also requested to verify the correctness of the address in eAadhaar and update the same accordingly (if required).",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
14,14,What if an Aadhaar Number holder misplaces his Aadhaar number?,"a) Aadhaar number holder can find his Aadhaar number using Aadhaar Service - Retrieve Lost UID/EID available on https://myaadhaar.uidai.gov.in/
b) Aadhaar number holder can call 1947 where our Contact Centre Agent will help him/her in getting his/her EID and the same can be used to download his/her eAadhaar from MyAadhaar Portal - Download Aadhaar
c) Aadhaar number holder can also get his/her Aadhaar number from EID number on IVRS system by calling 1947",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
15,15,Is it compulsory to have registered mobile number to use mAadhaar services?,"No. Anyone with a smartphone can install and use mAadhaar App.Without a registered mobile number, Aadhaar number holder will be able to avail only few services such as Order Aadhaar PVC card, Locate Enrolment Center, Verify Aadhaar, Scanning QR code etc.However registered mobile number is mandatory to create the profile in mAadhaar and use the same as digital identity and avail all other Aadhaar services. The OTP will be sent only to registered mobile for creating the profile in mAadhaar.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
16,16,Where can mAadhaar be used?,"mAadhaar app can be used anywhere anytime within India. mAadhaar is more than Aadhaar card in a wallet. On one hand the mAadhaar profile is accepted as a valid ID proof and on the other, resident can use the features in the app to share their eKYC or QR code with service providers who sought Aadhaar verification of their customers before providing Aadhaar services.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
17,17,How resident can create profile on m-Aadhaar App?,"Only someone with an Aadhaar linked to a registered mobile number can create Aadhaar profile in the mAadhaar App. They can register their profile in an App installed in any smartphone. However the OTP will be sent to only their registered mobile. Steps to register Aadhaar profile are given below:

Launch the app.
Tap on the Register Aadhaar tab on the top of main dashboard
Create a 4 digit Pin/Password(memorize this password, as it will be required to access profile)
Provide Valid Aadhaar & enter valid Captcha
Enter Valid OTP and submit
The profile should get registered
The registered tab would now display the registered Aadhaar Name
Tap on My Aadhaar tab on the bottom menu
Enter 4-digit Pin/Password
My Aadhaar Dashboard appears",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
